,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,RenameList,DeletedComment Date,Deleted CommitID
8,84fbcfc4cbef254dce2e7ecd7fcff788da4690df,18.06-rc/dind/Dockerfile,18.06-rc/dind/Dockerfile,# TODO aufs-tools,2018-07-02 17:02:53+00:00,2018-07-02 10:02:53-07:00,2018-08-22 09:26:02-07:00,18.06-rc/dind/Dockerfile,2018-08-22 09:26:02-07:00,8f4d3d5ad30e80da03c7913772039cba42c138d3
9,84fbcfc4cbef254dce2e7ecd7fcff788da4690df,18.06-rc/dind/Dockerfile,18.06-rc/dind/Dockerfile,# https://github.com/docker/docker/tree/master/hack/dind,2018-07-02 17:02:53+00:00,2018-07-02 10:02:53-07:00,2018-08-22 09:26:02-07:00,18.06-rc/dind/Dockerfile,2018-08-22 09:26:02-07:00,8f4d3d5ad30e80da03c7913772039cba42c138d3
10,84fbcfc4cbef254dce2e7ecd7fcff788da4690df,18.06-rc/Dockerfile,18.06-rc/Dockerfile,"# set up nsswitch.conf for Go's ""netgo"" implementation (which Docker explicitly uses)
# - https://github.com/docker/docker-ce/blob/v17.09.0-ce/components/engine/hack/make.sh#L149
# - https://github.com/golang/go/blob/go1.9.1/src/net/conf.go#L194-L275
# - docker run --rm debian:stretch grep '^hosts:' /etc/nsswitch.conf",2018-07-02 17:02:53+00:00,2018-07-02 10:02:53-07:00,2018-08-22 09:26:02-07:00,18.06-rc/Dockerfile,2018-08-22 09:26:02-07:00,8f4d3d5ad30e80da03c7913772039cba42c138d3
11,84fbcfc4cbef254dce2e7ecd7fcff788da4690df,18.06-rc/Dockerfile,18.06-rc/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",2018-07-02 17:02:53+00:00,2018-07-02 10:02:53-07:00,2018-08-22 09:26:02-07:00,18.06-rc/Dockerfile,2018-08-22 09:26:02-07:00,8f4d3d5ad30e80da03c7913772039cba42c138d3
112,98ffef81ebfa7601a9ed2f0bf56d78f426bf253c,19.03-rc/Dockerfile,19.03-rc/Dockerfile,"# set up nsswitch.conf for Go's ""netgo"" implementation (which Docker explicitly uses)
# - https://github.com/docker/docker-ce/blob/v17.09.0-ce/components/engine/hack/make.sh#L149
# - https://github.com/golang/go/blob/go1.9.1/src/net/conf.go#L194-L275
# - docker run --rm debian:stretch grep '^hosts:' /etc/nsswitch.conf",2019-04-05 23:09:03+00:00,2019-04-05 16:09:03-07:00,,19.03-rc/Dockerfile,,
113,98ffef81ebfa7601a9ed2f0bf56d78f426bf253c,19.03-rc/Dockerfile,19.03-rc/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",2019-04-05 23:09:03+00:00,2019-04-05 16:09:03-07:00,,19.03-rc/Dockerfile,,
516,4975dca2dd357705c5613045348402ab664ccdf0,19.03/Dockerfile,19.03/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",2019-07-22 20:16:30+00:00,2019-07-22 13:16:30-07:00,,19.03/Dockerfile,,
515,4975dca2dd357705c5613045348402ab664ccdf0,19.03/Dockerfile,19.03/Dockerfile,"# set up nsswitch.conf for Go's ""netgo"" implementation (which Docker explicitly uses)
# - https://github.com/docker/docker-ce/blob/v17.09.0-ce/components/engine/hack/make.sh#L149
# - https://github.com/golang/go/blob/go1.9.1/src/net/conf.go#L194-L275
# - docker run --rm debian:stretch grep '^hosts:' /etc/nsswitch.conf",2019-07-22 20:16:30+00:00,2019-07-22 13:16:30-07:00,,19.03/Dockerfile,,
377,27e5adeb0597e445e3b9df951f03eaf89131184b,18.09-rc/Dockerfile,18.09-rc/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",2018-12-04 21:56:37+00:00,2018-12-04 13:56:37-08:00,2020-06-09 14:17:40-07:00,18.09-rc/Dockerfile,2020-06-09 14:17:40-07:00,8fe469c62af39646db99bf1de7ae65a3eb66f40f
376,27e5adeb0597e445e3b9df951f03eaf89131184b,18.09-rc/Dockerfile,18.09-rc/Dockerfile,"# set up nsswitch.conf for Go's ""netgo"" implementation (which Docker explicitly uses)
# - https://github.com/docker/docker-ce/blob/v17.09.0-ce/components/engine/hack/make.sh#L149
# - https://github.com/golang/go/blob/go1.9.1/src/net/conf.go#L194-L275
# - docker run --rm debian:stretch grep '^hosts:' /etc/nsswitch.conf",2018-12-04 21:56:37+00:00,2018-12-04 13:56:37-08:00,2020-06-09 14:17:40-07:00,18.09-rc/Dockerfile,2020-06-09 14:17:40-07:00,8fe469c62af39646db99bf1de7ae65a3eb66f40f
